

,Barricade,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,,Building Time,Building Time,Building Time,Building Time,Building Time,Building Time
,[object Object],Meat,Meat,Wood,Wood,Coal,Coal,Iron,Iron,,,,,,Seconds,Seconds
,0,Total,Remaining,Total,Remaining,Total,Remaining,Total,Remaining,,Days,Hours,Minutes,Seconds,Total,Remaining
,1,,[object Object],,[object Object],,[object Object],,[object Object],,,,,,[object Object],[object Object]
,2,,[object Object],5300,[object Object],1000,[object Object],,[object Object],,,,,10,10,[object Object]
,3,,[object Object],88000,[object Object],17000,[object Object],4400,[object Object],,,,21,30,1290,[object Object]
,4,420000,[object Object],420000,[object Object],84000,[object Object],21000,[object Object],,,1,4,30,3870,[object Object]
,5,1400000,[object Object],1400000,[object Object],290000,[object Object],74000,[object Object],,,3,39,,13140,[object Object]
,6,5300000,[object Object],5300000,[object Object],1000000,[object Object],260000,[object Object],,,9,52,30,35550,[object Object]
,7,15000000,[object Object],15000000,[object Object],3000000,[object Object],750000,[object Object],,1,13,44,,135840,[object Object]
,8,37000000,[object Object],37000000,[object Object],7400000,[object Object],1800000,[object Object],,3,,55,,262500,[object Object]
,9,61000000,[object Object],61000000,[object Object],12000000,[object Object],3000000,[object Object],,4,,26,,347160,[object Object]
,10,75000000,[object Object],75000000,[object Object],15000000,[object Object],3700000,[object Object],,4,19,44,,416640,[object Object]

,,195120000,[object Object],195213300,[object Object],38792000,[object Object],9609400,[object Object],,12,45,285,100,1216000,[object Object]

,,,,,,,,,,,,,,Days,14,[object Object]
,,,,,,,,,,,,,,Hours,1,[object Object]
,,,,,,,,,,,,,,Minutes,46,[object Object]
,,,,,,,,,,,,,,Seconds,40,[object Object]
