,,,Level For F30
,,,1
,Command Center,,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,,,,Building Time,Building Time,Building Time,Building Time,Building Time,Building Time
,[object Object],,Meat,Meat,Wood,Wood,Coal,Coal,Iron,Iron,Fire Crystals,Fire Crystals,Refined FCs,Refined FCs,,,,,,Seconds,Seconds
,0,Numerical,Total,Remaining,Total,Remaining,Total,Remaining,Total,Remaining,Total,Remaining,Total,Remaining,,Days,Hours,Minutes,Seconds,Total,Remaining
,1,1,,[object Object],80,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],,,,,2,2,[object Object]
,2,2,,[object Object],125,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],,,,,8,8,[object Object]
,3,3,,[object Object],565,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],,,,,35,35,[object Object]
,4,4,,[object Object],1200,[object Object],250,[object Object],,[object Object],,[object Object],,[object Object],,,,1,45,105,[object Object]
,5,5,,[object Object],5300,[object Object],1000,[object Object],,[object Object],,[object Object],,[object Object],,,,3,35,215,[object Object]
,6,6,,[object Object],13000,[object Object],2600,[object Object],670,[object Object],,[object Object],,[object Object],,,,7,10,430,[object Object]
,7,7,,[object Object],48000,[object Object],9600,[object Object],2400,[object Object],,[object Object],,[object Object],,,,14,,840,[object Object]
,8,8,,[object Object],88000,[object Object],17000,[object Object],4400,[object Object],,[object Object],,[object Object],,,,21,,1260,[object Object]
,9,9,,[object Object],180000,[object Object],36000,[object Object],9100,[object Object],,[object Object],,[object Object],,,,32,,1920,[object Object]
,10,10,,[object Object],320000,[object Object],64000,[object Object],16000,[object Object],,[object Object],,[object Object],,,,43,,2580,[object Object]
,11,11,390000,[object Object],390000,[object Object],79000,[object Object],19000,[object Object],,[object Object],,[object Object],,,,54,,3240,[object Object]
,12,12,500000,[object Object],500000,[object Object],100000,[object Object],25000,[object Object],,[object Object],,[object Object],,,1,4,30,3870,[object Object]
,13,13,710000,[object Object],710000,[object Object],140000,[object Object],35000,[object Object],,[object Object],,[object Object],,,1,19,,4740,[object Object]
,14,14,940000,[object Object],940000,[object Object],180000,[object Object],47000,[object Object],,[object Object],,[object Object],,,1,40,30,6030,[object Object]
,15,15,1300000,[object Object],1300000,[object Object],270000,[object Object],69000,[object Object],,[object Object],,[object Object],,,2,9,30,7770,[object Object]
,16,16,1700000,[object Object],1700000,[object Object],350000,[object Object],89000,[object Object],,[object Object],,[object Object],,,3,39,,13140,[object Object]
,17,17,2700000,[object Object],2700000,[object Object],550000,[object Object],130000,[object Object],,[object Object],,[object Object],,,4,23,,15780,[object Object]
,18,18,3700000,[object Object],3700000,[object Object],750000,[object Object],180000,[object Object],,[object Object],,[object Object],,,5,16,,18960,[object Object]
,19,19,4700000,[object Object],4700000,[object Object],940000,[object Object],230000,[object Object],,[object Object],,[object Object],,,7,54,,28440,[object Object]
,20,20,6400000,[object Object],6400000,[object Object],1200000,[object Object],320000,[object Object],,[object Object],,[object Object],,,9,52,30,35550,[object Object]
,21,21,8100000,[object Object],8100000,[object Object],1600000,[object Object],400000,[object Object],,[object Object],,[object Object],,,12,50,,46200,[object Object]
,22,22,10000000,[object Object],10000000,[object Object],2100000,[object Object],540000,[object Object],,[object Object],,[object Object],,,19,15,30,69330,[object Object]
,23,23,13000000,[object Object],13000000,[object Object],2600000,[object Object],670000,[object Object],,[object Object],,[object Object],,1,2,57,,97020,[object Object]
,24,24,18000000,[object Object],18000000,[object Object],3600000,[object Object],900000,[object Object],,[object Object],,[object Object],,1,13,44,,135840,[object Object]
,25,25,24000000,[object Object],24000000,[object Object],4900000,[object Object],1200000,[object Object],,[object Object],,[object Object],,2,4,50,,190200,[object Object]
,26,26,31000000,[object Object],31000000,[object Object],6300000,[object Object],1500000,[object Object],,[object Object],,[object Object],,2,12,46,,218760,[object Object]
,27,27,44000000,[object Object],44000000,[object Object],8900000,[object Object],2200000,[object Object],,[object Object],,[object Object],,3,,55,,262500,[object Object]
,28,28,59000000,[object Object],59000000,[object Object],11000000,[object Object],2900000,[object Object],,[object Object],,[object Object],,3,11,51,,301860,[object Object]
,29,29,73000000,[object Object],73000000,[object Object],18000000,[object Object],4500000,[object Object],,[object Object],,[object Object],,4,,26,,347160,[object Object]
,30,30,90000000,[object Object],90000000,[object Object],18000000,[object Object],4500000,[object Object],,[object Object],,[object Object],,4,19,44,,416640,[object Object]
,30-1,31,20000000,[object Object],20000000,[object Object],4000000,[object Object],1000000,[object Object],26,[object Object],,[object Object],,,20,9,30,72570,[object Object]
,30-2,32,20000000,[object Object],20000000,[object Object],4000000,[object Object],1000000,[object Object],26,[object Object],,[object Object],,,20,9,30,72570,[object Object]
,30-3,33,20000000,[object Object],20000000,[object Object],4000000,[object Object],1000000,[object Object],26,[object Object],,[object Object],,,20,9,30,72570,[object Object]
,30-4,34,20000000,[object Object],20000000,[object Object],4000000,[object Object],1000000,[object Object],26,[object Object],,[object Object],,,20,9,30,72570,[object Object]
,FC1,35,20000000,[object Object],20000000,[object Object],4000000,[object Object],1000000,[object Object],26,[object Object],,[object Object],,,20,9,30,72570,[object Object]
,FC1-1,36,21000000,[object Object],21000000,[object Object],4300000,[object Object],1000000,[object Object],31,[object Object],,[object Object],,1,1,55,,93300,[object Object]
,FC1-2,37,21000000,[object Object],21000000,[object Object],4300000,[object Object],1000000,[object Object],31,[object Object],,[object Object],,1,1,55,,93300,[object Object]
,FC1-3,38,21000000,[object Object],21000000,[object Object],4300000,[object Object],1000000,[object Object],31,[object Object],,[object Object],,1,1,55,,93300,[object Object]
,FC1-4,39,21000000,[object Object],21000000,[object Object],4300000,[object Object],1000000,[object Object],31,[object Object],,[object Object],,1,1,55,,93300,[object Object]
,FC2,40,21000000,[object Object],21000000,[object Object],4300000,[object Object],1000000,[object Object],31,[object Object],,[object Object],,1,1,55,,93300,[object Object]
,FC2-1,41,23000000,[object Object],23000000,[object Object],4700000,[object Object],1100000,[object Object],47,[object Object],,[object Object],,1,7,40,,114000,[object Object]
,FC2-2,42,23000000,[object Object],23000000,[object Object],4700000,[object Object],1100000,[object Object],47,[object Object],,[object Object],,1,7,40,,114000,[object Object]
,FC2-3,43,23000000,[object Object],23000000,[object Object],4700000,[object Object],1100000,[object Object],47,[object Object],,[object Object],,1,7,40,,114000,[object Object]
,FC2-4,44,23000000,[object Object],23000000,[object Object],4700000,[object Object],1100000,[object Object],47,[object Object],,[object Object],,1,7,40,,114000,[object Object]
,FC3,45,23000000,[object Object],23000000,[object Object],4700000,[object Object],1100000,[object Object],47,[object Object],,[object Object],,1,7,40,,114000,[object Object]
,FC3-1,46,24000000,[object Object],24000000,[object Object],4900000,[object Object],1200000,[object Object],56,[object Object],,[object Object],,1,10,33,,124380,[object Object]
,FC3-2,47,24000000,[object Object],24000000,[object Object],4900000,[object Object],1200000,[object Object],56,[object Object],,[object Object],,1,10,33,,124380,[object Object]
,FC3-3,48,24000000,[object Object],24000000,[object Object],4900000,[object Object],1200000,[object Object],56,[object Object],,[object Object],,1,10,33,,124380,[object Object]
,FC3-4,49,24000000,[object Object],24000000,[object Object],4900000,[object Object],1200000,[object Object],56,[object Object],,[object Object],,1,10,33,,124380,[object Object]
,FC4,50,24000000,[object Object],24000000,[object Object],4900000,[object Object],1200000,[object Object],56,[object Object],,[object Object],,1,10,33,,124380,[object Object]
,FC4-1,51,25000000,[object Object],25000000,[object Object],5000000,[object Object],1200000,[object Object],67,[object Object],,[object Object],,1,16,31,,145860,[object Object]
,FC4-2,52,25000000,[object Object],25000000,[object Object],5000000,[object Object],1200000,[object Object],67,[object Object],,[object Object],,1,16,31,,145860,[object Object]
,FC4-3,53,25000000,[object Object],25000000,[object Object],5000000,[object Object],1200000,[object Object],67,[object Object],,[object Object],,1,16,31,,145860,[object Object]
,FC4-4,54,25000000,[object Object],25000000,[object Object],5000000,[object Object],1200000,[object Object],67,[object Object],,[object Object],,1,16,31,,145860,[object Object]
,FC5,55,25000000,[object Object],25000000,[object Object],5000000,[object Object],1200000,[object Object],67,[object Object],,[object Object],,1,16,31,,145860,[object Object]
