,,,Level For F30
,,,29
,Embassy,,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,,,,Building Time,Building Time,Building Time,Building Time,Building Time,Building Time
,[object Object],,Meat,Meat,Wood,Wood,Coal,Coal,Iron,Iron,Fire Crystals,Fire Crystals,Refined FCs,Refined FCs,,,,,,Seconds,Seconds
,0,Numerical,Total,Remaining,Total,Remaining,Total,Remaining,Total,Remaining,Total,Remaining,Total,Remaining,,Days,Hours,Minutes,Seconds,Total,Remaining
,1,1,,[object Object],60,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],,,,,2,2,[object Object]
,2,2,,[object Object],90,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],,,,,10,10,[object Object]
,3,3,,[object Object],400,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],,,,1,,60,[object Object]
,4,4,,[object Object],900,[object Object],180,[object Object],,[object Object],,[object Object],,[object Object],,,,2,,120,[object Object]
,5,5,,[object Object],3800,[object Object],760,[object Object],,[object Object],,[object Object],,[object Object],,,,6,40,400,[object Object]
,6,6,,[object Object],9600,[object Object],1900,[object Object],480,[object Object],,[object Object],,[object Object],,,,13,20,800,[object Object]
,7,7,,[object Object],34000,[object Object],6900,[object Object],1700,[object Object],,[object Object],,[object Object],,,,25,,1500,[object Object]
,8,8,,[object Object],63000,[object Object],12000,[object Object],3100,[object Object],,[object Object],,[object Object],,,,45,,2700,[object Object]
,9,9,,[object Object],130000,[object Object],26000,[object Object],6500,[object Object],,[object Object],,[object Object],,,2,,,7200,[object Object]
,10,10,,[object Object],230000,[object Object],46000,[object Object],11000,[object Object],,[object Object],,[object Object],,,3,57,30,14250,[object Object]
,11,11,260000,[object Object],260000,[object Object],52000,[object Object],13000,[object Object],,[object Object],,[object Object],,,4,57,,17820,[object Object]
,12,12,330000,[object Object],330000,[object Object],67000,[object Object],16000,[object Object],,[object Object],,[object Object],,,5,56,,21360,[object Object]
,13,13,470000,[object Object],470000,[object Object],95000,[object Object],23000,[object Object],,[object Object],,[object Object],,,7,15,30,26130,[object Object]
,14,14,630000,[object Object],630000,[object Object],120000,[object Object],31000,[object Object],,[object Object],,[object Object],,,9,14,,33240,[object Object]
,15,15,930000,[object Object],930000,[object Object],180000,[object Object],46000,[object Object],,[object Object],,[object Object],,,11,52,30,42750,[object Object]
,16,16,1100000,[object Object],1100000,[object Object],230000,[object Object],59000,[object Object],,[object Object],,[object Object],,,20,7,,72420,[object Object]
,17,17,1800000,[object Object],1800000,[object Object],370000,[object Object],93000,[object Object],,[object Object],,[object Object],,1,,8,,86880,[object Object]
,18,18,2500000,[object Object],2500000,[object Object],500000,[object Object],120000,[object Object],,[object Object],,[object Object],,1,4,58,,104280,[object Object]
,19,19,3100000,[object Object],3100000,[object Object],620000,[object Object],150000,[object Object],,[object Object],,[object Object],,1,19,27,,156420,[object Object]
,20,20,4300000,[object Object],4300000,[object Object],860000,[object Object],210000,[object Object],,[object Object],,[object Object],,2,6,19,,195540,[object Object]
,21,21,5400000,[object Object],5400000,[object Object],1000000,[object Object],270000,[object Object],,[object Object],,[object Object],,2,22,36,,254160,[object Object]
,22,22,7200000,[object Object],7200000,[object Object],1400000,[object Object],360000,[object Object],,[object Object],,[object Object],,4,9,55,,381300,[object Object]
,23,23,8900000,[object Object],8900000,[object Object],1700000,[object Object],440000,[object Object],,[object Object],,[object Object],,6,4,17,,533820,[object Object]
,24,24,12000000,[object Object],12000000,[object Object],2400000,[object Object],600000,[object Object],,[object Object],,[object Object],,8,15,36,,747360,[object Object]
,25,25,16000000,[object Object],16000000,[object Object],3200000,[object Object],810000,[object Object],,[object Object],,[object Object],,12,2,38,,1046280,[object Object]
,26,26,21000000,[object Object],21000000,[object Object],4200000,[object Object],1000000,[object Object],,[object Object],,[object Object],,13,22,14,,1203240,[object Object]
,27,27,29000000,[object Object],29000000,[object Object],5900000,[object Object],1400000,[object Object],,[object Object],,[object Object],,16,17,5,,1443900,[object Object]
,28,28,39000000,[object Object],39000000,[object Object],7900000,[object Object],1900000,[object Object],,[object Object],,[object Object],,19,5,15,,1660500,[object Object]
,29,29,49000000,[object Object],49000000,[object Object],9800000,[object Object],2400000,[object Object],,[object Object],,[object Object],,22,2,26,,1909560,[object Object]
,30,30,60000000,[object Object],60000000,[object Object],12000000,[object Object],3000000,[object Object],,[object Object],,[object Object],,26,12,32,,2291520,[object Object]
,30-1,31,13000000,[object Object],13000000,[object Object],2700000,[object Object],679000,[object Object],33,[object Object],,[object Object],,4,14,52,,399120,[object Object]
,30-2,32,13000000,[object Object],13000000,[object Object],2700000,[object Object],679000,[object Object],33,[object Object],,[object Object],,4,14,52,,399120,[object Object]
,30-3,33,13000000,[object Object],13000000,[object Object],2700000,[object Object],679000,[object Object],33,[object Object],,[object Object],,4,14,52,,399120,[object Object]
,30-4,34,13000000,[object Object],13000000,[object Object],2700000,[object Object],679000,[object Object],33,[object Object],,[object Object],,4,14,52,,399120,[object Object]
,FC1,35,13000000,[object Object],13000000,[object Object],2700000,[object Object],679000,[object Object],33,[object Object],,[object Object],,4,14,52,,399120,[object Object]
,FC1-1,36,14000000,[object Object],14000000,[object Object],2900000,[object Object],720000,[object Object],39,[object Object],,[object Object],,5,22,33,,513180,[object Object]
,FC1-2,37,14000000,[object Object],14000000,[object Object],2900000,[object Object],720000,[object Object],39,[object Object],,[object Object],,5,22,33,,513180,[object Object]
,FC1-3,38,14000000,[object Object],14000000,[object Object],2900000,[object Object],720000,[object Object],39,[object Object],,[object Object],,5,22,33,,513180,[object Object]
,FC1-4,39,14000000,[object Object],14000000,[object Object],2900000,[object Object],720000,[object Object],39,[object Object],,[object Object],,5,22,33,,513180,[object Object]
,FC2,40,14000000,[object Object],14000000,[object Object],2900000,[object Object],720000,[object Object],39,[object Object],,[object Object],,5,22,33,,513180,[object Object]
,FC2-1,41,15000000,[object Object],15000000,[object Object],3100000,[object Object],790000,[object Object],59,[object Object],,[object Object],,7,6,14,,627240,[object Object]
,FC2-2,42,15000000,[object Object],15000000,[object Object],3100000,[object Object],790000,[object Object],59,[object Object],,[object Object],,7,6,14,,627240,[object Object]
,FC2-3,43,15000000,[object Object],15000000,[object Object],3100000,[object Object],790000,[object Object],59,[object Object],,[object Object],,7,6,14,,627240,[object Object]
,FC2-4,44,15000000,[object Object],15000000,[object Object],3100000,[object Object],790000,[object Object],59,[object Object],,[object Object],,7,6,14,,627240,[object Object]
,FC3,45,15000000,[object Object],15000000,[object Object],3100000,[object Object],790000,[object Object],59,[object Object],,[object Object],,7,6,14,,627240,[object Object]
,FC3-1,46,16000000,[object Object],16000000,[object Object],3200000,[object Object],820000,[object Object],70,[object Object],,[object Object],,7,22,4,,684240,[object Object]
,FC3-2,47,16000000,[object Object],16000000,[object Object],3200000,[object Object],820000,[object Object],70,[object Object],,[object Object],,7,22,4,,684240,[object Object]
,FC3-3,48,16000000,[object Object],16000000,[object Object],3200000,[object Object],820000,[object Object],70,[object Object],,[object Object],,7,22,4,,684240,[object Object]
,FC3-4,49,16000000,[object Object],16000000,[object Object],3200000,[object Object],820000,[object Object],70,[object Object],,[object Object],,7,22,4,,684240,[object Object]
,FC4,50,16000000,[object Object],16000000,[object Object],3200000,[object Object],820000,[object Object],70,[object Object],,[object Object],,7,22,4,,684240,[object Object]
,FC4-1,51,16000000,[object Object],16000000,[object Object],3300000,[object Object],840000,[object Object],83,[object Object],,[object Object],,9,5,45,,798300,[object Object]
,FC4-2,52,16000000,[object Object],16000000,[object Object],3300000,[object Object],840000,[object Object],83,[object Object],,[object Object],,9,5,45,,798300,[object Object]
,FC4-3,53,16000000,[object Object],16000000,[object Object],3300000,[object Object],840000,[object Object],83,[object Object],,[object Object],,9,5,45,,798300,[object Object]
,FC4-4,54,16000000,[object Object],16000000,[object Object],3300000,[object Object],840000,[object Object],83,[object Object],,[object Object],,9,5,45,,798300,[object Object]
,FC5,55,16000000,[object Object],16000000,[object Object],3300000,[object Object],840000,[object Object],83,[object Object],,[object Object],,9,5,45,,798300,[object Object]
