
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
,Furnace,,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,,,,Building Time,Building Time,Building Time,Building Time,Building Time,Building Time,,Preqrequisite Levels,Preqrequisite Levels,Preqrequisite Levels,Preqrequisite Levels,Preqrequisite Levels,Preqrequisite Levels,Preqrequisite Levels,Preqrequisite Levels,Preqrequisite Levels,Preqrequisite Levels,Preqrequisite Levels,Preqrequisite Levels
,[object Object],,Meat,Meat,Wood,Wood,Coal,Coal,Iron,Iron,Fire Crystals,Fire Crystals,Refined FCs,Refined FCs,,,,,,Seconds,Seconds,,Command Center,Coal Mine,Embassy,Hunter's Hut,Infantry Camp,Infirmary,Iron Mine,Lancer Camp,Marksman Camp,Research Center,Sawmill,Shelter
,0,Numerical,Total,Remaining,Total,Remaining,Total,Remaining,Total,Remaining,Total,Remaining,Total,Remaining,,Days,Hours,Minutes,Seconds,Total,Remaining
,1,1,,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],,,,,,[object Object],[object Object],,-,-,-,-,-,-,-,-,-,-,-,-
,2,2,,[object Object],180,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],,,,,6,6,[object Object],,-,-,-,-,-,-,-,-,-,-,1,-
,3,3,,[object Object],805,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],,,,1,,60,[object Object],,-,-,-,-,-,-,-,-,-,-,1,2
,4,4,,[object Object],1800,[object Object],360,[object Object],,[object Object],,[object Object],,[object Object],,,,3,,180,[object Object],,-,3,-,-,-,-,-,-,-,-,1,2
,5,5,,[object Object],7600,[object Object],1500,[object Object],,[object Object],,[object Object],,[object Object],,,,10,,600,[object Object],,-,3,-,-,-,-,-,-,-,-,1,3
,6,6,,[object Object],19000,[object Object],3800,[object Object],960,[object Object],,[object Object],,[object Object],,,,30,,1800,[object Object],,-,3,-,-,-,-,5,-,-,-,1,3
,7,7,,[object Object],69000,[object Object],13000,[object Object],3400,[object Object],,[object Object],,[object Object],,,1,,,3600,[object Object],,-,3,-,6,-,-,5,-,-,-,1,3
,8,8,,[object Object],120000,[object Object],25000,[object Object],6300,[object Object],,[object Object],,[object Object],,,2,30,,9000,[object Object],,-,3,-,6,7,-,5,-,-,-,1,3
,9,9,,[object Object],260000,[object Object],52000,[object Object],13000,[object Object],,[object Object],,[object Object],,,4,30,,16200,[object Object],,-,3,8,6,7,1,5,-,-,-,1,3
