
,,,,,Infantry Set 1,Infantry Set 1,Infantry Set 1,Infantry Set 1,Infantry Set 1,Infantry Set 1,Infantry Set 1,Infantry Set 1,Infantry Set 1,Infantry Set 1,Infantry Set 1,Infantry Set 1,Lancer Set 1,Lancer Set 1,Lancer Set 1,Lancer Set 1,Lancer Set 1,Lancer Set 1,Lancer Set 1,Lancer Set 1,Lancer Set 1,Lancer Set 1,Lancer Set 1,Lancer Set 1,Marksman Set 1,Marksman Set 1,Marksman Set 1,Marksman Set 1,Marksman Set 1,Marksman Set 1,Marksman Set 1,Marksman Set 1,Marksman Set 1,Marksman Set 1,Marksman Set 1,Marksman Set 1,Infantry Set 2,Infantry Set 2,Infantry Set 2,Infantry Set 2,Infantry Set 2,Infantry Set 2,Infantry Set 2,Infantry Set 2,Infantry Set 2,Infantry Set 2,Infantry Set 2,Infantry Set 2,Lancer Set 2,Lancer Set 2,Lancer Set 2,Lancer Set 2,Lancer Set 2,Lancer Set 2,Lancer Set 2,Lancer Set 2,Lancer Set 2,Lancer Set 2,Lancer Set 2,Lancer Set 2,Marksman Set 2,Marksman Set 2,Marksman Set 2,Marksman Set 2,Marksman Set 2,Marksman Set 2,Marksman Set 2,Marksman Set 2,Marksman Set 2,Marksman Set 2,Marksman Set 2,Marksman Set 2,Infantry Set 3,Infantry Set 3,Infantry Set 3,Infantry Set 3,Infantry Set 3,Infantry Set 3,Infantry Set 3,Infantry Set 3,Infantry Set 3,Infantry Set 3,Infantry Set 3,Infantry Set 3,Lancer Set 3,Lancer Set 3,Lancer Set 3,Lancer Set 3,Lancer Set 3,Lancer Set 3,Lancer Set 3,Lancer Set 3,Lancer Set 3,Lancer Set 3,Lancer Set 3,Lancer Set 3,Marksman Set 3,Marksman Set 3,Marksman Set 3,Marksman Set 3,Marksman Set 3,Marksman Set 3,Marksman Set 3,Marksman Set 3,Marksman Set 3,Marksman Set 3,Marksman Set 3,Marksman Set 3
,Hero Gear,Base Costs,Base Costs,Base Costs,Goggles,Goggles,Goggles,Gloves,Gloves,Gloves,Belt,Belt,Belt,Boots,Boots,Boots,Goggles,Goggles,Goggles,Gloves,Gloves,Gloves,Belt,Belt,Belt,Boots,Boots,Boots,Goggles,Goggles,Goggles,Gloves,Gloves,Gloves,Belt,Belt,Belt,Boots,Boots,Boots,Goggles,Goggles,Goggles,Gloves,Gloves,Gloves,Belt,Belt,Belt,Boots,Boots,Boots,Goggles,Goggles,Goggles,Gloves,Gloves,Gloves,Belt,Belt,Belt,Boots,Boots,Boots,Goggles,Goggles,Goggles,Gloves,Gloves,Gloves,Belt,Belt,Belt,Boots,Boots,Boots,Goggles,Goggles,Goggles,Gloves,Gloves,Gloves,Belt,Belt,Belt,Boots,Boots,Boots,Goggles,Goggles,Goggles,Gloves,Gloves,Gloves,Belt,Belt,Belt,Boots,Boots,Boots,Goggles,Goggles,Goggles,Gloves,Gloves,Gloves,Belt,Belt,Belt,Boots,Boots,Boots
,Level,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril,XP,Mythic Gear,Mythril
,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,1,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,2,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,3,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,4,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,5,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,6,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,7,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,8,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,9,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,10,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,11,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,12,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,13,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
