,,,Level For F30
,,,1
,Infirmary,,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,,,,Building Time,Building Time,Building Time,Building Time,Building Time,Building Time
,[object Object],,Meat,Meat,Wood,Wood,Coal,Coal,Iron,Iron,Fire Crystals,Fire Crystals,Refined FCs,Refined FCs,,,,,,Seconds,Seconds
,0,Numerical,Total,Remaining,Total,Remaining,Total,Remaining,Total,Remaining,Total,Remaining,Total,Remaining,,Days,Hours,Minutes,Seconds,Total,Remaining
,1,1,,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],,,,,2,2,[object Object]
,2,2,,[object Object],100,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],,,,,9,9,[object Object]
,3,3,,[object Object],460,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],,,,,40,40,[object Object]
,4,4,,[object Object],1000,[object Object],205,[object Object],,[object Object],,[object Object],,[object Object],,,,2,5,125,[object Object]
,5,5,,[object Object],4300,[object Object],865,[object Object],,[object Object],,[object Object],,[object Object],,,,4,10,250,[object Object]
,6,6,,[object Object],10000,[object Object],2100,[object Object],545,[object Object],,[object Object],,[object Object],,,,8,20,500,[object Object]
,7,7,,[object Object],39000,[object Object],7800,[object Object],1900,[object Object],,[object Object],,[object Object],,,,16,30,990,[object Object]
,8,8,,[object Object],72000,[object Object],14000,[object Object],3600,[object Object],,[object Object],,[object Object],,,,25,,1500,[object Object]
,9,9,,[object Object],140000,[object Object],29000,[object Object],7400,[object Object],,[object Object],,[object Object],,,,27,30,1650,[object Object]
,10,10,,[object Object],260000,[object Object],52000,[object Object],13000,[object Object],,[object Object],,[object Object],,,,50,,3000,[object Object]
,11,11,320000,[object Object],320000,[object Object],65000,[object Object],16000,[object Object],,[object Object],,[object Object],,,1,3,,3780,[object Object]
,12,12,420000,[object Object],420000,[object Object],54000,[object Object],21000,[object Object],,[object Object],,[object Object],,,1,15,30,4530,[object Object]
,13,13,590000,[object Object],590000,[object Object],110000,[object Object],29000,[object Object],,[object Object],,[object Object],,,1,32,,5520,[object Object]
,14,14,780000,[object Object],780000,[object Object],150000,[object Object],39000,[object Object],,[object Object],,[object Object],,,1,57,30,7050,[object Object]
,15,15,1100000,[object Object],1100000,[object Object],230000,[object Object],58000,[object Object],,[object Object],,[object Object],,,2,31,,9060,[object Object]
,16,16,1400000,[object Object],1400000,[object Object],290000,[object Object],74000,[object Object],,[object Object],,[object Object],,,4,16,,15360,[object Object]
,17,17,2300000,[object Object],2300000,[object Object],460000,[object Object],110000,[object Object],,[object Object],,[object Object],,,5,7,,18420,[object Object]
,18,18,3100000,[object Object],3100000,[object Object],620000,[object Object],150000,[object Object],,[object Object],,[object Object],,,6,8,30,22110,[object Object]
,19,19,3900000,[object Object],3900000,[object Object],780000,[object Object],190000,[object Object],,[object Object],,[object Object],,,9,13,,33180,[object Object]
,20,20,5300000,[object Object],5300000,[object Object],1000000,[object Object],260000,[object Object],,[object Object],,[object Object],,,11,31,,41460,[object Object]
,21,21,6800000,[object Object],6800000,[object Object],1300000,[object Object],340000,[object Object],,[object Object],,[object Object],,,14,58,30,53910,[object Object]
,22,22,9000000,[object Object],9000000,[object Object],1800000,[object Object],450000,[object Object],,[object Object],,[object Object],,,22,28,,80880,[object Object]
,23,23,11000000,[object Object],11000000,[object Object],2200000,[object Object],560000,[object Object],,[object Object],,[object Object],,1,7,27,,113220,[object Object]
,24,24,15000000,[object Object],15000000,[object Object],3000000,[object Object],750000,[object Object],,[object Object],,[object Object],,1,20,2,,158520,[object Object]
,25,25,20000000,[object Object],20000000,[object Object],4000000,[object Object],1000000,[object Object],,[object Object],,[object Object],,2,13,39,,221940,[object Object]
,26,26,26000000,[object Object],26000000,[object Object],5200000,[object Object],1300000,[object Object],,[object Object],,[object Object],,2,22,54,,255240,[object Object]
,27,27,37000000,[object Object],37000000,[object Object],7400000,[object Object],1800000,[object Object],,[object Object],,[object Object],,3,13,4,,306240,[object Object]
,28,28,49000000,[object Object],49000000,[object Object],9900000,[object Object],2400000,[object Object],,[object Object],,[object Object],,4,1,50,,352200,[object Object]
,29,29,61000000,[object Object],61000000,[object Object],12000000,[object Object],3000000,[object Object],,[object Object],,[object Object],,4,16,31,,405060,[object Object]
,30,30,75000000,[object Object],75000000,[object Object],15000000,[object Object],3700000,[object Object],,[object Object],,[object Object],,5,15,1,,486060,[object Object]
,30-1,31,16000000,[object Object],16000000,[object Object],3300000,[object Object],840000,[object Object],26,[object Object],,[object Object],,,23,31,,84660,[object Object]
,30-2,32,16000000,[object Object],16000000,[object Object],3300000,[object Object],840000,[object Object],26,[object Object],,[object Object],,,23,31,,84660,[object Object]
,30-3,33,16000000,[object Object],16000000,[object Object],3300000,[object Object],840000,[object Object],26,[object Object],,[object Object],,,23,31,,84660,[object Object]
,30-4,34,16000000,[object Object],16000000,[object Object],3300000,[object Object],840000,[object Object],26,[object Object],,[object Object],,,23,31,,84660,[object Object]
,FC1,35,16000000,[object Object],16000000,[object Object],3300000,[object Object],840000,[object Object],26,[object Object],,[object Object],,,23,31,,84660,[object Object]
,FC1-1,36,18000000,[object Object],18000000,[object Object],3600000,[object Object],900000,[object Object],31,[object Object],,[object Object],,1,6,14,,108840,[object Object]
,FC1-2,37,18000000,[object Object],18000000,[object Object],3600000,[object Object],900000,[object Object],31,[object Object],,[object Object],,1,6,14,,108840,[object Object]
,FC1-3,38,18000000,[object Object],18000000,[object Object],3600000,[object Object],900000,[object Object],31,[object Object],,[object Object],,1,6,14,,108840,[object Object]
,FC1-4,39,18000000,[object Object],18000000,[object Object],3600000,[object Object],900000,[object Object],31,[object Object],,[object Object],,1,6,14,,108840,[object Object]
,FC2,40,18000000,[object Object],18000000,[object Object],3600000,[object Object],900000,[object Object],31,[object Object],,[object Object],,1,6,14,,108840,[object Object]
,FC2-1,41,19000000,[object Object],19000000,[object Object],3900000,[object Object],990000,[object Object],47,[object Object],,[object Object],,1,12,57,,133020,[object Object]
,FC2-2,42,19000000,[object Object],19000000,[object Object],3900000,[object Object],990000,[object Object],47,[object Object],,[object Object],,1,12,57,,133020,[object Object]
,FC2-3,43,19000000,[object Object],19000000,[object Object],3900000,[object Object],990000,[object Object],47,[object Object],,[object Object],,1,12,57,,133020,[object Object]
,FC2-4,44,19000000,[object Object],19000000,[object Object],3900000,[object Object],990000,[object Object],47,[object Object],,[object Object],,1,12,57,,133020,[object Object]
,FC3,45,19000000,[object Object],19000000,[object Object],3900000,[object Object],990000,[object Object],47,[object Object],,[object Object],,1,12,57,,133020,[object Object]
,FC3-1,46,20000000,[object Object],20000000,[object Object],4100000,[object Object],1000000,[object Object],56,[object Object],,[object Object],,1,16,19,,145140,[object Object]
,FC3-2,47,20000000,[object Object],20000000,[object Object],4100000,[object Object],1000000,[object Object],56,[object Object],,[object Object],,1,16,19,,145140,[object Object]
,FC3-3,48,20000000,[object Object],20000000,[object Object],4100000,[object Object],1000000,[object Object],56,[object Object],,[object Object],,1,16,19,,145140,[object Object]
,FC3-4,49,20000000,[object Object],20000000,[object Object],4100000,[object Object],1000000,[object Object],56,[object Object],,[object Object],,1,16,19,,145140,[object Object]
,FC4,50,20000000,[object Object],20000000,[object Object],4100000,[object Object],1000000,[object Object],56,[object Object],,[object Object],,1,16,19,,145140,[object Object]
,FC4-1,51,21000000,[object Object],21000000,[object Object],4200000,[object Object],1000000,[object Object],67,[object Object],,[object Object],,1,23,2,,169320,[object Object]
,FC4-2,52,21000000,[object Object],21000000,[object Object],4200000,[object Object],1000000,[object Object],67,[object Object],,[object Object],,1,23,2,,169320,[object Object]
,FC4-3,53,21000000,[object Object],21000000,[object Object],4200000,[object Object],1000000,[object Object],67,[object Object],,[object Object],,1,23,2,,169320,[object Object]
,FC4-4,54,21000000,[object Object],21000000,[object Object],4200000,[object Object],1000000,[object Object],67,[object Object],,[object Object],,1,23,2,,169320,[object Object]
,FC5,55,21000000,[object Object],21000000,[object Object],4200000,[object Object],1000000,[object Object],67,[object Object],,[object Object],,1,23,2,,169320,[object Object]
