

,,,Gear Level,#,Alloy,Polish,Plans,Amber,Power,SvS Points
,,,Locked,1,0,0,0,0,0,0,Locked
,Uncommon,,Uncommon,2,1500,15,0,0,224400,1125,Uncommon
,Rare,,Uncommon (1-Star),3,3800,40,0,0,306000,1875,Uncommon (1-Star)
,Epic,,Rare,4,7000,70,0,0,408000,3000,Rare
,Mythic,,Rare (1-Star),5,9700,95,0,0,510000,4500,Rare (1-Star)
,Legendary,,Rare (2-Star),6,0,0,45,0,612000,5100,Rare (2-Star)
,,,Rare (3-Star),7,0,0,50,0,714000,5440,Rare (3-Star)
,,,Epic,8,0,0,60,0,816000,3230,Epic
,,,Epic (1-Star),9,0,0,70,0,885360,3230,Epic (1-Star)
,,,Epic (2-Star),10,6500,65,40,0,954720,3225,Epic (2-Star)
,,,Epic (3-Star),11,8000,80,50,0,1024080,3225,Epic (3-Star)
,,,Epic T1,12,10000,95,60,0,1093440,3440,Epic T1
,,,Epic T1 (1-Star),13,11000,110,70,0,1162800,3440,Epic T1 (1-Star)
,,,Epic T1 (2-Star),14,13000,130,85,0,1232160,4085,Epic T1 (2-Star)
,,,Epic T1 (3-Star),15,15000,160,100,0,1301520,4085,Epic T1 (3-Star)
,,,Mythic,16,22000,220,40,0,1362720,6250,Mythic
,,,Mythic (1-Star),17,23000,230,40,0,1423920,6250,Mythic (1-Star)
,,,Mythic (2-Star),18,25000,250,45,0,1485120,6250,Mythic (2-Star)
,,,Mythic (3-Star),19,26000,260,45,0,1546320,6250,Mythic (3-Star)
,,,Mythic T1,20,28000,280,45,0,1607520,6250,Mythic T1
,,,Mythic T1 (1-Star),21,30000,300,55,0,1668720,6250,Mythic T1 (1-Star)
,,,Mythic T1 (2-Star),22,32000,320,55,0,1729920,6250,Mythic T1 (2-Star)
,,,Mythic T1 (3-Star),23,35000,340,55,0,1791120,6250,Mythic T1 (3-Star)
,,,Mythic T2,24,38000,390,55,0,1852320,6250,Mythic T2
,,,Mythic T2 (1-Star),25,43000,430,75,0,1913520,6250,Mythic T2 (1-Star)
,,,Mythic T2 (2-Star),26,45000,460,80,0,1974720,6250,Mythic T2 (2-Star)
,,,Mythic T2 (3-Star),27,48000,500,85,0,2040000,6250,Mythic T2 (3-Star)
,,,Mythic T2 (3-Star Status: 1),28,12500,132,21,2,2065500,2320,Mythic T2 (3-Star Status: 1)
,,,Mythic T2 (3-Star Status: 2),29,12500,132,21,2,2091000,2320,Mythic T2 (3-Star Status: 2)
,,,Mythic T2 (3-Star Status: 3),30,12500,132,21,2,2116500,2320,Mythic T2 (3-Star Status: 3)
,,,Legendary,31,12500,134,22,4,2142000,2600,Legendary
,,,Legendary (Status: 1),32,13000,140,22,2,2167500,2320,Legendary (Status: 1)
,,,Legendary (Status: 2),33,13000,140,22,2,2193000,2320,Legendary (Status: 2)
,,,Legendary (Status: 3),34,13000,140,22,2,2218500,2320,Legendary (Status: 3)
,,,Legendary (1-Star),35,13000,140,24,4,2244000,2600,Legendary (1-Star)
,,,Legendary (1-Star Status: 1),36,13500,147,23,2,2269500,2310,Legendary (1-Star Status: 1)
,,,Legendary (1-Star Status: 2),37,13500,147,23,2,2295000,2310,Legendary (1-Star Status: 2)
,,,Legendary (1-Star Status: 3),38,13500,147,23,2,2320500,2310,Legendary (1-Star Status: 3)
,,,Legendary (2-Star),39,13500,149,26,4,2346000,2630,Legendary (2-Star)
,,,Legendary (2-Star Status: 1),40,14000,155,25,2,2371500,2330,Legendary (2-Star Status: 1)
,,,Legendary (2-Star Status: 2),41,14000,155,25,2,2397000,2330,Legendary (2-Star Status: 2)
,,,Legendary (2-Star Status: 3),42,14000,155,25,2,2422500,2330,Legendary (2-Star Status: 3)
,,,Legendary (3-Star),43,14000,155,25,4,2448000,2570,Legendary (3-Star)
,,,Legendary (3-Star Status: 1),44,14750,167,27,3,2473500,2300,Legendary (3-Star Status: 1)
,,,Legendary (3-Star Status: 2),45,14750,167,27,3,2499000,2300,Legendary (3-Star Status: 2)
,,,Legendary (3-Star Status: 3),46,14750,167,27,3,2524500,2300,Legendary (3-Star Status: 3)
,,,Legendary T1,47,14750,169,29,6,2550000,2660,Legendary T1
,,,Legendary T1 (Status: 1),48,15250,175,28,3,2575500,2300,Legendary T1 (Status: 1)
,,,Legendary T1 (Status: 2),49,15250,175,28,3,2601000,2300,Legendary T1 (Status: 2)
,,,Legendary T1 (Status: 3),50,15250,175,28,3,2626500,2300,Legendary T1 (Status: 3)
,,,Legendary T1 (1-Star),51,15250,175,31,6,2652000,2660,Legendary T1 (1-Star)
,,,Legendary T1 (1-Star Status: 1),52,15750,182,30,3,2677500,2320,Legendary T1 (1-Star Status: 1)
,,,Legendary T1 (1-Star Status: 2),53,15750,182,30,3,2703000,2320,Legendary T1 (1-Star Status: 2)
,,,Legendary T1 (1-Star Status: 3),54,15750,182,30,3,2728500,2320,Legendary T1 (1-Star Status: 3)
,,,Legendary T1 (2-Star),55,15750,184,30,6,2754000,2600,Legendary T1 (2-Star)
,,,Legendary T1 (2-Star Status: 1),56,16250,190,31,3,2779500,2320,Legendary T1 (2-Star Status: 1)
,,,Legendary T1 (2-Star Status: 2),57,16250,190,31,3,2805000,2320,Legendary T1 (2-Star Status: 2)
,,,Legendary T1 (2-Star Status: 3),58,16250,190,31,3,2830500,2320,Legendary T1 (2-Star Status: 3)
,,,Legendary T1 (3-Star),59,16250,190,32,6,2856000,2600,Legendary T1 (3-Star)
,,,Legendary T1 (3-Star Status: 1),60,17000,202,33,5,2881500,2370,Legendary T1 (3-Star Status: 1)
,,,Legendary T1 (3-Star Status: 2),61,17000,202,33,5,2907000,2370,Legendary T1 (3-Star Status: 2)
,,,Legendary T1 (3-Star Status: 3),62,17000,202,33,5,2932500,2370,Legendary T1 (3-Star Status: 3)
,,,Legendary T2,63,17000,204,36,5,2958000,2450,Legendary T2
,,,Legendary T2 (Status: 1),64,17500,210,35,5,2983500,2390,Legendary T2 (Status: 1)
,,,Legendary T2 (Status: 2),65,17500,210,35,5,3009000,2390,Legendary T2 (Status: 2)
,,,Legendary T2 (Status: 3),66,17500,210,35,5,3034500,2390,Legendary T2 (Status: 3)
,,,Legendary T2 (1-Star),67,17500,210,35,5,3060000,2390,Legendary T2 (1-Star)
,,,Legendary T2 (1-Star Status: 1),68,18000,217,36,5,3085500,2380,Legendary T2 (1-Star Status: 1)
,,,Legendary T2 (1-Star Status: 2),69,18000,217,36,5,3111000,2380,Legendary T2 (1-Star Status: 2)
,,,Legendary T2 (1-Star Status: 3),70,18000,217,36,5,3136500,2380,Legendary T2 (1-Star Status: 3)
,,,Legendary T2 (2-Star),71,18000,219,37,5,3162000,2420,Legendary T2 (2-Star)
,,,Legendary T2 (2-Star Status: 1),72,18500,225,37,5,3187500,2380,Legendary T2 (2-Star Status: 1)
,,,Legendary T2 (2-Star Status: 2),73,18500,225,37,5,3213000,2380,Legendary T2 (2-Star Status: 2)
,,,Legendary T2 (2-Star Status: 3),74,18500,225,37,5,3238500,2380,Legendary T2 (2-Star Status: 3)
,,,Legendary T2 (3-Star),75,18500,225,39,5,3264000,2420,Legendary T2 (3-Star)
,,,Legendary T2 (3-Star Status: 1),76,19250,237,40,6,3289500,2370,Legendary T2 (3-Star Status: 1)
,,,Legendary T2 (3-Star Status: 2),77,19250,237,40,6,3315000,2370,Legendary T2 (3-Star Status: 2)
,,,Legendary T2 (3-Star Status: 3),78,19250,237,40,6,3340500,2370,Legendary T2 (3-Star Status: 3)
,,,Legendary T3,79,19250,239,40,7,3366000,2450,Legendary T3
,,,Legendary T3 (Status: 1),80,20000,247,41,6,3391500,2360,Legendary T3 (Status: 1)
,,,Legendary T3 (Status: 2),81,20000,247,41,6,3417000,2360,Legendary T3 (Status: 2)
,,,Legendary T3 (Status: 3),82,20000,247,41,6,3442500,2360,Legendary T3 (Status: 3)
,,,Legendary T3 (1-Star),83,20000,249,42,7,3468000,2480,Legendary T3 (1-Star)
,,,Legendary T3 (1-Star Status: 1),84,20750,257,42,6,3493500,2360,Legendary T3 (1-Star Status: 1)
,,,Legendary T3 (1-Star Status: 2),85,20750,257,42,6,3519000,2360,Legendary T3 (1-Star Status: 2)
,,,Legendary T3 (1-Star Status: 3),86,20750,257,42,6,3544500,2360,Legendary T3 (1-Star Status: 3)
,,,Legendary T3 (2-Star),87,20750,259,44,7,3570000,2480,Legendary T3 (2-Star)
,,,Legendary T3 (2-Star Status: 1),88,21500,267,45,6,3595500,2370,Legendary T3 (2-Star Status: 1)
,,,Legendary T3 (2-Star Status: 2),89,21500,267,45,6,3621000,2370,Legendary T3 (2-Star Status: 2)
,,,Legendary T3 (2-Star Status: 3),90,21500,267,45,6,3646500,2370,Legendary T3 (2-Star Status: 3)
,,,Legendary T3 (3-Star),91,21500,269,45,7,3672000,2450,Legendary T3 (3-Star)
,,,Legendary T3 (3-Star Status: 1),92,24000,300,50,8,3712000,3190,Legendary T3 (3-Star Status: 1)
,,,Legendary T3 (3-Star Status: 2),93,24000,300,50,8,3753000,3090,Legendary T3 (3-Star Status: 2)
,,,Legendary T3 (3-Star Status: 3),94,24000,300,50,8,3794000,3090,Legendary T3 (3-Star Status: 3)
,,,Legendary T3 (3-Star Status: 4),95,24000,300,50,8,3835000,3100,Legendary T3 (3-Star Status: 4)
,,,Legendary T4,96,28000,300,50,8,3876000,3090,Legendary T4
,,,Legendary T4 (Status: 1),97,28000,330,55,8,3916000,3020,Legendary T4 (Status: 1)
,,,Legendary T4 (Status: 2),98,28000,330,55,8,3957000,3100,Legendary T4 (Status: 2)
,,,Legendary T4 (Status: 3),99,28000,330,55,8,3998000,3090,Legendary T4 (Status: 3)
,,,Legendary T4 (Status: 4),100,28000,330,55,8,4039000,3100,Legendary T4 (Status: 4)
,,,Legendary T4 (1-Star),101,28000,330,55,8,4080000,3090,Legendary T4 (1-Star)
,,,Legendary T4 (1-Star Status: 1),102,32000,360,60,8,4120000,3020,Legendary T4 (1-Star Status: 1)
,,,Legendary T4 (1-Star Status: 2),103,32000,360,60,8,4161000,3090,Legendary T4 (1-Star Status: 2)
