


,,,Cave Hyena,Cave Hyena,Cave Hyena,Cave Hyena,Cave Hyena,Cave Hyena,Cave Hyena,Cave Hyena,Cave Hyena,Cave Hyena,Arctic Wolf,Arctic Wolf,Arctic Wolf,Arctic Wolf,Arctic Wolf,Arctic Wolf,Arctic Wolf,Arctic Wolf,Arctic Wolf,Arctic Wolf,Musk Ox,Musk Ox,Musk Ox,Musk Ox,Musk Ox,Musk Ox,Musk Ox,Musk Ox,Musk Ox,Musk Ox,Giant Tapir,Giant Tapir,Giant Tapir,Giant Tapir,Giant Tapir,Giant Tapir,Giant Tapir,Giant Tapir,Giant Tapir,Giant Tapir,Titan Roc,Titan Roc,Titan Roc,Titan Roc,Titan Roc,Titan Roc,Titan Roc,Titan Roc,Titan Roc,Titan Roc,Giant Elk,Giant Elk,Giant Elk,Giant Elk,Giant Elk,Giant Elk,Giant Elk,Giant Elk,Giant Elk,Giant Elk,Snow Leopard,Snow Leopard,Snow Leopard,Snow Leopard,Snow Leopard,Snow Leopard,Snow Leopard,Snow Leopard,Snow Leopard,Snow Leopard,Cave Lion,Cave Lion,Cave Lion,Cave Lion,Cave Lion,Cave Lion,Cave Lion,Cave Lion,Cave Lion,Cave Lion,Snow Ape,Snow Ape,Snow Ape,Snow Ape,Snow Ape,Snow Ape,Snow Ape,Snow Ape,Snow Ape,Snow Ape,Iron Rhino,Iron Rhino,Iron Rhino,Iron Rhino,Iron Rhino,Iron Rhino,Iron Rhino,Iron Rhino,Iron Rhino,Iron Rhino,Sabertooth Tiger,Sabertooth Tiger,Sabertooth Tiger,Sabertooth Tiger,Sabertooth Tiger,Sabertooth Tiger,Sabertooth Tiger,Sabertooth Tiger,Sabertooth Tiger,Sabertooth Tiger,Mammoth,Mammoth,Mammoth,Mammoth,Mammoth,Mammoth,Mammoth,Mammoth,Mammoth,Mammoth,Frost Gorilla,Frost Gorilla,Frost Gorilla,Frost Gorilla,Frost Gorilla,Frost Gorilla,Frost Gorilla,Frost Gorilla,Frost Gorilla,Frost Gorilla,Frostscale Chameleon,Frostscale Chameleon,Frostscale Chameleon,Frostscale Chameleon,Frostscale Chameleon,Frostscale Chameleon,Frostscale Chameleon,Frostscale Chameleon,Frostscale Chameleon,Frostscale Chameleon,Abyssal Shelldragon,Abyssal Shelldragon,Abyssal Shelldragon,Abyssal Shelldragon,Abyssal Shelldragon,Abyssal Shelldragon,Abyssal Shelldragon,Abyssal Shelldragon,Abyssal Shelldragon,Abyssal Shelldragon
,,Level,Food,Food,Manual,Manual,Potion,Potion,Serum,Serum,SVS,SVS,Food,Food,Manual,Manual,Potion,Potion,Serum,Serum,SVS,SVS,Food,Food,Manual,Manual,Potion,Potion,Serum,Serum,SVS,SVS,Food,Food,Manual,Manual,Potion,Potion,Serum,Serum,SVS,SVS,Food,Food,Manual,Manual,Potion,Potion,Serum,Serum,SVS,SVS,Food,Food,Manual,Manual,Potion,Potion,Serum,Serum,SVS,SVS,Food,Food,Manual,Manual,Potion,Potion,Serum,Serum,SVS,SVS,Food,Food,Manual,Manual,Potion,Potion,Serum,Serum,SVS,SVS,Food,Food,Manual,Manual,Potion,Potion,Serum,Serum,SVS,SVS,Food,Food,Manual,Manual,Potion,Potion,Serum,Serum,SVS,SVS,Food,Food,Manual,Manual,Potion,Potion,Serum,Serum,SVS,SVS,Food,Food,Manual,Manual,Potion,Potion,Serum,Serum,SVS,SVS,Food,Food,Manual,Manual,Potion,Potion,Serum,Serum,SVS,SVS,Food,Food,Manual,Manual,Potion,Potion,Serum,Serum,SVS,SVS,Food,Food,Manual,Manual,Potion,Potion,Serum,Serum,SVS,SVS
,,0,Base,Required,Base,Required,Base,Required,Base,Required,Points,Points,Base,Required,Base,Required,Base,Required,Base,Required,Points,Points,Base,Required,Base,Required,Base,Required,Base,Required,Points,,Base,Required,Base,Required,Base,Required,Base,Required,Points,Points,Base,Required,Base,Required,Base,Required,Base,Required,Points,Points,Base,Required,Base,Required,Base,Required,Base,Required,Points,Points,Base,Required,Base,Required,Base,Required,Base,Required,Points,Points,Base,Required,Base,Required,Base,Required,Base,Required,Points,Points,Base,Required,Base,Required,Base,Required,Base,Required,Points,Points,Base,Required,Base,Required,Base,Required,Base,Required,Points,Points,Base,Required,Base,Required,Base,Required,Base,Required,Points,Points,Base,Required,Base,Required,Base,Required,Base,Required,Points,Points,Base,Required,Base,Required,Base,Required,Base,Required,Points,Points,Base,Required,Base,Required,Base,Required,Base,Required,Points,Points,Base,Required,Base,Required,Base,Required,Base,Required,Points,Points
,,10,1715,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],2530,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],2530,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],3795,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],3795,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],5060,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],5060,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],6325,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],6325,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],6325,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],6325,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],6325,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],6325,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],6325,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],6325,[object Object],,[object Object],,[object Object],,[object Object],,[object Object]
,,10.1,,[object Object],15,[object Object],,[object Object],,[object Object],500,[object Object],,[object Object],20,[object Object],,[object Object],,[object Object],500,[object Object],,[object Object],20,[object Object],,[object Object],,[object Object],500,[object Object],,[object Object],25,[object Object],,[object Object],,[object Object],500,[object Object],,[object Object],25,[object Object],,[object Object],,[object Object],500,[object Object],,[object Object],30,[object Object],,[object Object],,[object Object],500,[object Object],,[object Object],30,[object Object],,[object Object],,[object Object],500,[object Object],,[object Object],35,[object Object],,[object Object],,[object Object],500,[object Object],,[object Object],35,[object Object],,[object Object],,[object Object],500,[object Object],,[object Object],35,[object Object],,[object Object],,[object Object],500,[object Object],,[object Object],35,[object Object],,[object Object],,[object Object],500,[object Object],,[object Object],35,[object Object],,[object Object],,[object Object],500,[object Object],,[object Object],35,[object Object],,[object Object],,[object Object],500,[object Object],,[object Object],35,[object Object],,[object Object],,[object Object],500,[object Object],,[object Object],35,[object Object],,[object Object],,[object Object],500,[object Object]
,,20,3180,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],5360,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],5360,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],8040,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],8040,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],10720,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],10720,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],13400,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],13400,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],13400,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],13400,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],13400,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],13400,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],13400,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],13400,[object Object],,[object Object],,[object Object],,[object Object],,[object Object]
,,20.1,,[object Object],30,[object Object],,[object Object],,[object Object],1000,[object Object],,[object Object],40,[object Object],,[object Object],,[object Object],1000,[object Object],,[object Object],40,[object Object],,[object Object],,[object Object],1000,[object Object],,[object Object],50,[object Object],,[object Object],,[object Object],1000,[object Object],,[object Object],50,[object Object],,[object Object],,[object Object],1000,[object Object],,[object Object],60,[object Object],,[object Object],,[object Object],1000,[object Object],,[object Object],60,[object Object],,[object Object],,[object Object],1000,[object Object],,[object Object],70,[object Object],,[object Object],,[object Object],1000,[object Object],,[object Object],70,[object Object],,[object Object],,[object Object],1000,[object Object],,[object Object],70,[object Object],,[object Object],,[object Object],1000,[object Object],,[object Object],70,[object Object],,[object Object],,[object Object],1000,[object Object],,[object Object],70,[object Object],,[object Object],,[object Object],1000,[object Object],,[object Object],70,[object Object],,[object Object],,[object Object],1000,[object Object],,[object Object],70,[object Object],,[object Object],,[object Object],1000,[object Object],,[object Object],70,[object Object],,[object Object],,[object Object],1000,[object Object]
,,30,5010,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],9020,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],9020,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],13530,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],13530,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],18040,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],18040,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],22550,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],22550,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],22550,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],22550,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],22550,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],22550,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],22550,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],22550,[object Object],,[object Object],,[object Object],,[object Object],,[object Object]
,,30.1,,[object Object],45,[object Object],10,[object Object],,[object Object],2000,[object Object],,[object Object],60,[object Object],10,[object Object],,[object Object],2000,[object Object],,[object Object],60,[object Object],10,[object Object],,[object Object],2000,[object Object],,[object Object],75,[object Object],10,[object Object],,[object Object],2000,[object Object],,[object Object],75,[object Object],10,[object Object],,[object Object],2000,[object Object],,[object Object],95,[object Object],10,[object Object],,[object Object],2000,[object Object],,[object Object],95,[object Object],10,[object Object],,[object Object],2000,[object Object],,[object Object],110,[object Object],15,[object Object],,[object Object],2000,[object Object],,[object Object],110,[object Object],15,[object Object],,[object Object],2000,[object Object],,[object Object],110,[object Object],15,[object Object],,[object Object],2000,[object Object],,[object Object],110,[object Object],15,[object Object],,[object Object],2000,[object Object],,[object Object],110,[object Object],15,[object Object],,[object Object],2000,[object Object],,[object Object],110,[object Object],15,[object Object],,[object Object],2000,[object Object],,[object Object],110,[object Object],15,[object Object],,[object Object],2000,[object Object],,[object Object],110,[object Object],15,[object Object],,[object Object],2000,[object Object]
,,40,7660,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],14320,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],14320,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],21480,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],21480,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],28640,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],28640,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],35800,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],35800,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],35800,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],35800,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],35800,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],35800,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],35800,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],35800,[object Object],,[object Object],,[object Object],,[object Object],,[object Object]
,,40.1,,[object Object],60,[object Object],20,[object Object],,[object Object],3000,[object Object],,[object Object],90,[object Object],20,[object Object],,[object Object],3000,[object Object],,[object Object],90,[object Object],20,[object Object],,[object Object],3000,[object Object],,[object Object],100,[object Object],20,[object Object],,[object Object],3000,[object Object],,[object Object],100,[object Object],20,[object Object],,[object Object],3000,[object Object],,[object Object],125,[object Object],20,[object Object],,[object Object],3000,[object Object],,[object Object],125,[object Object],20,[object Object],,[object Object],3000,[object Object],,[object Object],145,[object Object],35,[object Object],,[object Object],3000,[object Object],,[object Object],145,[object Object],35,[object Object],,[object Object],3000,[object Object],,[object Object],145,[object Object],35,[object Object],,[object Object],3000,[object Object],,[object Object],145,[object Object],35,[object Object],,[object Object],3000,[object Object],,[object Object],145,[object Object],35,[object Object],,[object Object],3000,[object Object],,[object Object],145,[object Object],35,[object Object],,[object Object],3000,[object Object],,[object Object],145,[object Object],35,[object Object],,[object Object],3000,[object Object],,[object Object],145,[object Object],35,[object Object],,[object Object],3000,[object Object]
