,,Level For F30
,,27
,Research Center,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,,Building Time,Building Time,Building Time,Building Time,Building Time,Building Time
,[object Object],Meat,Meat,Wood,Wood,Coal,Coal,Iron,Iron,Fire Crystals,Fire Crystals,,,,,,Seconds,Seconds
,0,Total,Remaining,Total,Remaining,Total,Remaining,Total,Remaining,Total,Remaining,,Days,Hours,Minutes,Seconds,Total,Remaining
,1,,[object Object],105,[object Object],,[object Object],,[object Object],,[object Object],,,,,2,2,[object Object]
,2,,[object Object],160,[object Object],,[object Object],,[object Object],,[object Object],,,,,9,9,[object Object]
,3,,[object Object],725,[object Object],,[object Object],,[object Object],,[object Object],,,,,45,45,[object Object]
,4,,[object Object],1600,[object Object],320,[object Object],,[object Object],,[object Object],,,,2,15,135,[object Object]
,5,,[object Object],6800,[object Object],1300,[object Object],,[object Object],,[object Object],,,,4,30,270,[object Object]
,6,,[object Object],17000,[object Object],3400,[object Object],860,[object Object],,[object Object],,,,9,,540,[object Object]
,7,,[object Object],62000,[object Object],12000,[object Object],3100,[object Object],,[object Object],,,,18,,1080,[object Object]
,8,,[object Object],110000,[object Object],22000,[object Object],5600,[object Object],,[object Object],,,,27,,1620,[object Object]
,9,,[object Object],230000,[object Object],47000,[object Object],11000,[object Object],,[object Object],,,,40,30,2430,[object Object]
,10,,[object Object],410000,[object Object],82000,[object Object],20000,[object Object],,[object Object],,,,54,,3240,[object Object]
,11,520000,[object Object],520000,[object Object],100000,[object Object],26000,[object Object],,[object Object],,,1,7,30,4050,[object Object]
,12,670000,[object Object],670000,[object Object],130000,[object Object],33000,[object Object],,[object Object],,,1,21,,4860,[object Object]
,13,950000,[object Object],950000,[object Object],190000,[object Object],47000,[object Object],,[object Object],,,1,39,,5940,[object Object]
,14,1200000,[object Object],1200000,[object Object],250000,[object Object],63000,[object Object],,[object Object],,,2,6,,7560,[object Object]
,15,1800000,[object Object],1800000,[object Object],370000,[object Object],93000,[object Object],,[object Object],,,2,42,,9720,[object Object]
,16,2300000,[object Object],2300000,[object Object],470000,[object Object],110000,[object Object],,[object Object],,,4,34,,16440,[object Object]
,17,3700000,[object Object],3700000,[object Object],740000,[object Object],180000,[object Object],,[object Object],,,5,29,,19740,[object Object]
,18,5000000,[object Object],5000000,[object Object],1000000,[object Object],250000,[object Object],,[object Object],,,6,35,,23700,[object Object]
,19,6200000,[object Object],6200000,[object Object],1200000,[object Object],310000,[object Object],,[object Object],,,9,52,30,35550,[object Object]
,20,8600000,[object Object],8600000,[object Object],1700000,[object Object],430000,[object Object],,[object Object],,,12,20,30,44430,[object Object]
,21,10000000,[object Object],10000000,[object Object],2100000,[object Object],540000,[object Object],,[object Object],,,16,2,30,57750,[object Object]
,22,14000000,[object Object],14000000,[object Object],2800000,[object Object],720000,[object Object],,[object Object],,1,,4,,86640,[object Object]
,23,17000000,[object Object],17000000,[object Object],3500000,[object Object],890000,[object Object],,[object Object],,1,9,42,,121320,[object Object]
,24,24000000,[object Object],24000000,[object Object],4800000,[object Object],1200000,[object Object],,[object Object],,1,23,11,,169860,[object Object]
,25,32000000,[object Object],32000000,[object Object],6500000,[object Object],1600000,[object Object],,[object Object],,2,18,3,,237780,[object Object]
,26,42000000,[object Object],42000000,[object Object],8400000,[object Object],2100000,[object Object],,[object Object],,3,3,57,,273420,[object Object]
,27,59000000,[object Object],59000000,[object Object],11000000,[object Object],2900000,[object Object],,[object Object],,3,19,9,,328140,[object Object]
,28,79000000,[object Object],79000000,[object Object],15000000,[object Object],3900000,[object Object],,[object Object],,4,8,49,,377340,[object Object]
,29,98000000,[object Object],98000000,[object Object],19000000,[object Object],4900000,[object Object],,[object Object],,5,,33,,433980,[object Object]
,30,120000000,[object Object],120000000,[object Object],24000000,[object Object],6000000,[object Object],,[object Object],,6,,40,,520800,[object Object]

,,525940000,[object Object],526778390,[object Object],103418020,[object Object],26332560,[object Object],[object Object],[object Object],,,,,,2788391,[object Object]

,,,,,,,,,,,,,,,,Days,32,[object Object]
,,,,,,,,,,,,,,,,Hours,6,[object Object]
,,,,,,,,,,,,,,,,Minutes,33,[object Object]
,,,,,,,,,,,,,,,,Seconds,11,[object Object]
