,,Level For F30
,,3
,Shelter,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,,Building Time,Building Time,Building Time,Building Time,Building Time,Building Time
,[object Object],Meat,Meat,Wood,Wood,Coal,Coal,Iron,Iron,,,,,,Seconds,Seconds
,0,Total,Remaining,Total,Remaining,Total,Remaining,Total,Remaining,,Days,Hours,Minutes,Seconds,Total,Remaining
,1,,[object Object],20,[object Object],,[object Object],,[object Object],,,,,2,2,[object Object]
,2,,[object Object],35,[object Object],,[object Object],,[object Object],,,,,6,6,[object Object]
,3,,[object Object],160,[object Object],,[object Object],,[object Object],,,,,30,30,[object Object]
,4,,[object Object],360,[object Object],70,[object Object],,[object Object],,,,1,30,90,[object Object]
,5,,[object Object],1500,[object Object],300,[object Object],,[object Object],,,,3,,180,[object Object]
,6,,[object Object],3800,[object Object],765,[object Object],190,[object Object],,,,6,,360,[object Object]
,7,,[object Object],13000,[object Object],2700,[object Object],690,[object Object],,,,12,,720,[object Object]
,8,,[object Object],25000,[object Object],5000,[object Object],1200,[object Object],,,,18,,1080,[object Object]
,9,,[object Object],52000,[object Object],10000,[object Object],2600,[object Object],,,,27,,1620,[object Object]
,10,,[object Object],92000,[object Object],18000,[object Object],4600,[object Object],,,,36,,2160,[object Object]

,,[object Object],[object Object],187875,[object Object],36835,[object Object],9280,[object Object],,[object Object],[object Object],103,68,6248,[object Object]

,,,,,,,,,,,,,,Days,[object Object],[object Object]
,,,,,,,,,,,,,,Hours,1,[object Object]
,,,,,,,,,,,,,,Minutes,44,[object Object]
,,,,,,,,,,,,,,Seconds,8,[object Object]













