
,,,,,,,,,,Train Troops - Full Build,Train Troops - Full Build,Train Troops - Full Build,Train Troops - Full Build,Train Troops - Full Build,Train Troops - Full Build,Train Troops - Full Build,Train Troops - Full Build,Train Troops - Full Build,Train Troops - Full Build,,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops
,Infantry,Infantry,Infantry,Infantry,Infantry,Infantry,Infantry,Infantry,,To Train 1174 Infantry,To Train 1174 Infantry,To Train 1174 Infantry,To Train 1174 Infantry,To Train 1174 Infantry,To Train 1174 Infantry,To Train 1174 Infantry,To Train 1174 Infantry,To Train 1174 Infantry,To Train 1174 Infantry,,To Upgrade 1174 Infantry to Tier 11,To Upgrade 1174 Infantry to Tier 11,To Upgrade 1174 Infantry to Tier 11,To Upgrade 1174 Infantry to Tier 11,To Upgrade 1174 Infantry to Tier 11,To Upgrade 1174 Infantry to Tier 11,To Upgrade 1174 Infantry to Tier 11,To Upgrade 1174 Infantry to Tier 11,To Upgrade 1174 Infantry to Tier 11,To Upgrade 1174 Infantry to Tier 11,To Upgrade 1174 Infantry to Tier 11,,To Train 45000 Tier 11 Infantry,To Train 45000 Tier 11 Infantry,To Train 45000 Tier 11 Infantry,To Train 45000 Tier 11 Infantry,To Train 45000 Tier 11 Infantry,To Train 45000 Tier 11 Infantry,To Train 45000 Tier 11 Infantry,To Train 45000 Tier 11 Infantry,To Train 45000 Tier 11 Infantry,To Train 45000 Tier 11 Infantry,To Train 45000 Tier 11 Infantry,,To Upgrade 45000 Infantry to Tier 11,To Upgrade 45000 Infantry to Tier 11,To Upgrade 45000 Infantry to Tier 11,To Upgrade 45000 Infantry to Tier 11,To Upgrade 45000 Infantry to Tier 11,To Upgrade 45000 Infantry to Tier 11,To Upgrade 45000 Infantry to Tier 11,To Upgrade 45000 Infantry to Tier 11,To Upgrade 45000 Infantry to Tier 11,To Upgrade 45000 Infantry to Tier 11,To Upgrade 45000 Infantry to Tier 11,,To Upgrade All Existing Infantry to Tier 11,To Upgrade All Existing Infantry to Tier 11,To Upgrade All Existing Infantry to Tier 11,To Upgrade All Existing Infantry to Tier 11,To Upgrade All Existing Infantry to Tier 11,To Upgrade All Existing Infantry to Tier 11,To Upgrade All Existing Infantry to Tier 11,To Upgrade All Existing Infantry to Tier 11,To Upgrade All Existing Infantry to Tier 11,To Upgrade All Existing Infantry to Tier 11,To Upgrade All Existing Infantry to Tier 11
,Points,Tier,Base Time (s),Adjusted (s),Meat,Wood,Coal,Iron,,Tier,Time (s),Days,Hours,Minutes,Seconds,Meat,Wood,Coal,Iron,,Tier,Quantity,Time (s),Days,Hours,Minutes,Seconds,Meat,Wood,Coal,Iron,,Tier,Quantity,Time (s),Days,Hours,Minutes,Seconds,Meat,Wood,Coal,Iron,,Tier,Quantity,Time (s),Days,Hours,Minutes,Seconds,Meat,Wood,Coal,Iron,,Tier,Quantity,Time (s),Days,Hours,Minutes,Seconds,Meat,Wood,Coal,Iron
,3,1,12,4.444444444444444,36,27,7,2,,1,5217.777777777777,[object Object],1,26,57.777777777777374,42264,31698,8218,2348,,1,1258,78275.55555555555,[object Object],21,44,35,8722972,6542858,1525954,315758,,1,45000,200000,2,7,33,20,1620000,1215000,315000,90000,,1,45000,2799999.9999999995,32,9,46,39,312030000,234045000,54585000,11295000,,1,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,4,2,17,6.296296296296296,58,44,10,3,,2,7391.851851851851,[object Object],2,3,11.85185185185128,68092,51656,11740,3522,,2,1297,78300.37037037035,[object Object],21,45,[object Object],8964864,6723648,1569370,324250,,2,45000,283333.3333333333,3,6,42,13,2610000,1980000,450000,135000,,2,45000,2716666.666666666,31,10,37,46,311040000,233280000,54450000,11250000,,2,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,5,3,24,8.888888888888888,92,69,17,4,,3,10435.555555555555,[object Object],2,53,55.55555555555475,108008,81006,19958,4696,,3,1355,78288.88888888888,[object Object],21,44,48,9319690,6990445,1630065,337395,,3,45000,400000,4,15,6,40,4140000,3105000,765000,180000,,3,45000,2599999.9999999995,30,2,13,19,309510000,232155000,54135000,11205000,,3,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,8,4,32,11.851851851851851,120,90,21,5,,4,13914.074074074073,[object Object],3,51,54.074074074072996,140880,105660,24654,5870,,4,1428,78275.55555555555,[object Object],21,44,35,9781800,7337064,1712172,354144,,4,45000,533333.3333333333,6,4,8,53,5400000,4050000,945000,225000,,4,45000,2466666.6666666665,28,13,11,6,308250000,231210000,53955000,11160000,,4,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,12,5,44,16.296296296296294,156,117,27,6,,5,19131.85185185185,[object Object],5,18,51.85185185185037,183144,137358,31698,7044,,5,1554,78275.55555555555,[object Object],21,44,35,10588956,7942494,1853922,383838,,5,45000,733333.3333333333,8,11,42,13,7020000,5265000,1215000,270000,,5,45000,2266666.6666666665,26,5,37,46,306630000,229995000,53685000,11115000,,5,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,18,6,60,22.22222222222222,186,140,33,7,,6,26088.888888888887,[object Object],7,14,48.88888888888687,218364,164360,38742,8218,,6,1761,78266.66666666666,[object Object],21,44,26,11946624,8959968,2090307,433206,,6,45000,999999.9999999999,11,13,46,39,8370000,6300000,1485000,315000,,6,45000,1999999.9999999995,23,3,33,19,305280000,228960000,53415000,11070000,,6,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,25,7,83,30.74074074074074,279,210,49,11,,7,36089.62962962963,[object Object],10,1,29.629629629627743,327546,246540,57526,12914,,7,2179,78282.59259259257,[object Object],21,44,42,14579689,10934222,2551609,527318,,7,45000,1383333.3333333333,16,[object Object],15,33,12555000,9450000,2205000,495000,,7,45000,1616666.6666666663,18,17,4,26,301095000,225810000,52695000,10890000,,7,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,35,8,113,41.85185185185185,558,419,98,21,,8,49134.07407407407,[object Object],13,38,54.074074074072996,655092,491906,115052,24654,,8,3155,78290.74074074073,[object Object],21,44,50,20229860,15172395,3539910,731960,,8,45000,1883333.3333333333,21,19,8,53,25110000,18855000,4410000,945000,,8,45000,1116666.6666666665,12,22,11,6,288540000,216405000,50490000,10440000,,8,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
