

,War Academy,,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,,,,Building Time,Building Time,Building Time,Building Time,Building Time,Building Time
,[object Object],,Meat,Meat,Wood,Wood,Coal,Coal,Iron,Iron,Fire Crystals,Fire Crystals,Refined FCs,Refined FCs,,,,,,Seconds,Seconds
,0,Numerical,Total,Remaining,Total,Remaining,Total,Remaining,Total,Remaining,Total,Remaining,Total,Remaining,,Days,Hours,Minutes,Seconds,Total,Remaining
,FC1,35,,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],,[object Object],,,,,2,2,[object Object]
,FC1-1,36,36000000,[object Object],36000000,[object Object],7200000,[object Object],1800000,[object Object],71,[object Object],,[object Object],,1,19,12,,155520,[object Object]
,FC1-2,37,36000000,[object Object],36000000,[object Object],7200000,[object Object],1800000,[object Object],71,[object Object],,[object Object],,1,19,12,,155520,[object Object]
,FC1-3,38,36000000,[object Object],36000000,[object Object],7200000,[object Object],1800000,[object Object],71,[object Object],,[object Object],,1,19,12,,155520,[object Object]
,FC1-4,39,36000000,[object Object],36000000,[object Object],7200000,[object Object],1800000,[object Object],71,[object Object],,[object Object],,1,19,12,,155520,[object Object]
,FC2,40,36000000,[object Object],36000000,[object Object],7200000,[object Object],1800000,[object Object],71,[object Object],,[object Object],,1,19,12,,155520,[object Object]
,FC2-1,41,39000000,[object Object],39000000,[object Object],7900000,[object Object],1900000,[object Object],107,[object Object],,[object Object],,2,4,48,,190080,[object Object]
,FC2-2,42,39000000,[object Object],39000000,[object Object],7900000,[object Object],1900000,[object Object],107,[object Object],,[object Object],,2,4,48,,190080,[object Object]
,FC2-3,43,39000000,[object Object],39000000,[object Object],7900000,[object Object],1900000,[object Object],107,[object Object],,[object Object],,2,4,48,,190080,[object Object]
,FC2-4,44,39000000,[object Object],39000000,[object Object],7900000,[object Object],1900000,[object Object],107,[object Object],,[object Object],,2,4,48,,190080,[object Object]
,FC3,45,39000000,[object Object],39000000,[object Object],7900000,[object Object],1900000,[object Object],107,[object Object],,[object Object],,2,4,48,,190080,[object Object]
,FC3-1,46,41000000,[object Object],41000000,[object Object],8200000,[object Object],2000000,[object Object],126,[object Object],,[object Object],,2,9,36,,207360,[object Object]
,FC3-2,47,41000000,[object Object],41000000,[object Object],8200000,[object Object],2000000,[object Object],126,[object Object],,[object Object],,2,9,36,,207360,[object Object]
,FC3-3,48,41000000,[object Object],41000000,[object Object],8200000,[object Object],2000000,[object Object],126,[object Object],,[object Object],,2,9,36,,207360,[object Object]
,FC3-4,49,41000000,[object Object],41000000,[object Object],8200000,[object Object],2000000,[object Object],126,[object Object],,[object Object],,2,9,36,,207360,[object Object]
,FC4,50,41000000,[object Object],41000000,[object Object],8200000,[object Object],2000000,[object Object],126,[object Object],,[object Object],,2,9,36,,207360,[object Object]
,FC4-1,51,42000000,[object Object],42000000,[object Object],8200000,[object Object],2100000,[object Object],150,[object Object],,[object Object],,2,19,12,,241920,[object Object]
,FC4-2,52,42000000,[object Object],42000000,[object Object],8200000,[object Object],2100000,[object Object],150,[object Object],,[object Object],,2,19,12,,241920,[object Object]
,FC4-3,53,42000000,[object Object],42000000,[object Object],8200000,[object Object],2100000,[object Object],150,[object Object],,[object Object],,2,19,12,,241920,[object Object]
,FC4-4,54,42000000,[object Object],42000000,[object Object],8200000,[object Object],2100000,[object Object],150,[object Object],,[object Object],,2,19,12,,241920,[object Object]
,FC5,55,42000000,[object Object],42000000,[object Object],8200000,[object Object],2100000,[object Object],150,[object Object],,[object Object],,2,19,12,,241920,[object Object]
,FC5-1,56,48000000,[object Object],48000000,[object Object],9600000,[object Object],2400000,[object Object],90,[object Object],4,[object Object],,3,,,,259200,[object Object]
,FC5-2,57,48000000,[object Object],48000000,[object Object],9600000,[object Object],2400000,[object Object],90,[object Object],4,[object Object],,3,,,,259200,[object Object]
,FC5-3,58,48000000,[object Object],48000000,[object Object],9600000,[object Object],2400000,[object Object],90,[object Object],4,[object Object],,3,,,,259200,[object Object]
,FC5-4,59,48000000,[object Object],48000000,[object Object],9600000,[object Object],2400000,[object Object],90,[object Object],4,[object Object],,3,,,,259200,[object Object]
,FC6,60,48000000,[object Object],48000000,[object Object],9600000,[object Object],2400000,[object Object],45,[object Object],9,[object Object],,3,,,,259200,[object Object]
,FC6-1,61,54000000,[object Object],54000000,[object Object],10000000,[object Object],2700000,[object Object],108,[object Object],6,[object Object],,3,14,24,,311040,[object Object]
,FC6-2,62,54000000,[object Object],54000000,[object Object],10000000,[object Object],2700000,[object Object],108,[object Object],6,[object Object],,3,14,24,,311040,[object Object]
,FC6-3,63,54000000,[object Object],54000000,[object Object],10000000,[object Object],2700000,[object Object],108,[object Object],6,[object Object],,3,14,24,,311040,[object Object]
,FC6-4,64,54000000,[object Object],54000000,[object Object],10000000,[object Object],2700000,[object Object],108,[object Object],6,[object Object],,3,14,24,,311040,[object Object]
,FC7,65,54000000,[object Object],54000000,[object Object],10000000,[object Object],2700000,[object Object],54,[object Object],13,[object Object],,3,14,24,,311040,[object Object]
,FC7-1,66,66000000,[object Object],66000000,[object Object],13000000,[object Object],3300000,[object Object],108,[object Object],9,[object Object],,4,,,,345600,[object Object]
,FC7-2,67,66000000,[object Object],66000000,[object Object],13000000,[object Object],3300000,[object Object],108,[object Object],9,[object Object],,4,,,,345600,[object Object]
,FC7-3,68,66000000,[object Object],66000000,[object Object],13000000,[object Object],3300000,[object Object],108,[object Object],9,[object Object],,4,,,,345600,[object Object]
,FC7-4,69,66000000,[object Object],66000000,[object Object],13000000,[object Object],3300000,[object Object],108,[object Object],9,[object Object],,4,,,,345600,[object Object]
,FC8,70,66000000,[object Object],66000000,[object Object],13000000,[object Object],3300000,[object Object],54,[object Object],18,[object Object],,4,,,,345600,[object Object]
,FC8-1,71,72000000,[object Object],72000000,[object Object],14000000,[object Object],3600000,[object Object],126,[object Object],13,[object Object],,2,14,24,,224640,[object Object]
,FC8-2,72,72000000,[object Object],72000000,[object Object],14000000,[object Object],3600000,[object Object],126,[object Object],13,[object Object],,2,14,24,,224640,[object Object]
,FC8-3,73,72000000,[object Object],72000000,[object Object],14000000,[object Object],3600000,[object Object],126,[object Object],13,[object Object],,2,14,24,,224640,[object Object]
,FC8-4,74,72000000,[object Object],72000000,[object Object],14000000,[object Object],3600000,[object Object],126,[object Object],13,[object Object],,2,14,24,,224640,[object Object]
,FC9,75,72000000,[object Object],72000000,[object Object],14000000,[object Object],3600000,[object Object],63,[object Object],27,[object Object],,2,14,24,,224640,[object Object]
,FC9-1,76,84000000,[object Object],84000000,[object Object],16000000,[object Object],7200000,[object Object],157,[object Object],31,[object Object],,4,,,,345600,[object Object]
,FC9-2,77,84000000,[object Object],84000000,[object Object],16000000,[object Object],7200000,[object Object],157,[object Object],31,[object Object],,4,,,,345600,[object Object]
,FC9-3,78,84000000,[object Object],84000000,[object Object],16000000,[object Object],7200000,[object Object],157,[object Object],31,[object Object],,4,,,,345600,[object Object]
,FC9-4,79,84000000,[object Object],84000000,[object Object],16000000,[object Object],7200000,[object Object],157,[object Object],31,[object Object],,4,,,,345600,[object Object]
,FC10,80,84000000,[object Object],84000000,[object Object],16000000,[object Object],7200000,[object Object],78,[object Object],61,[object Object],,4,,,,345600,[object Object]

,,,2410000000,[object Object],2410000000,[object Object],470500000,[object Object],135000000,[object Object],4920,[object Object],380,[object Object],[object Object],115,395,780,2,11404802,[object Object]

,,,,,,,,,,,,,,,,,,,Days,132,[object Object]
,,,,,,,,,,,,,,,,,,,Hours,[object Object],[object Object]
,,,,,,,,,,,,,,,,,,,Minutes,[object Object],[object Object]
,,,,,,,,,,,,,,,,,,,Seconds,2,[object Object]
